# Audiofrog official car-audio target curve (Andy Wehmeyer, 2024 revision)
# Source: audiofrog.com target curve download (OSM hi-res version), fetched 2026-08-30
# 8191 points, 2.93-23997 Hz linear grid, dB values not normalized
1787.11,-1.60331
1790.04,-1.60673
1792.97,-1.61015
1795.9,-1.61356
1798.83,-1.61697
1801.76,-1.62037
1804.69,-1.62378
1807.62,-1.62719
1810.55,-1.63059
1813.48,-1.634
1816.41,-1.6374
1819.34,-1.64079
1822.27,-1.64419
1825.2,-1.64758
1828.13,-1.65098
1831.05,-1.65436
1833.98,-1.65775
1836.91,-1.66114
1839.84,-1.66452
1842.77,-1.66791
1845.7,-1.67129
1848.63,-1.67467
1851.56,-1.67805
1854.49,-1.68142
1857.42,-1.68479
1860.35,-1.68817
1863.28,-1.69154
1866.21,-1.6949
1869.14,-1.69827
1872.07,-1.70163
1875,-1.70499
1877.93,-1.70835
1880.86,-1.71171
1883.79,-1.71507
1886.72,-1.71842
1889.65,-1.72177
1892.58,-1.72512
1895.51,-1.72847
1898.44,-1.73181
1901.37,-1.73516
1904.3,-1.73849
1907.23,-1.74184
1910.16,-1.74517
1913.09,-1.74851
1916.02,-1.75184
1918.95,-1.75517
1921.88,-1.7585
1924.8,-1.76182
1927.73,-1.76515
1930.66,-1.76847
1933.59,-1.77179
1936.52,-1.7751
1939.45,-1.77842
1942.38,-1.78174
1945.31,-1.78504
1948.24,-1.78835
1951.17,-1.79166
1954.1,-1.79496
1957.03,-1.79827
1959.96,-1.80156
1962.89,-1.80486
1965.82,-1.80816
1968.75,-1.81145
1971.68,-1.81474
1974.61,-1.81803
1977.54,-1.82131
1980.47,-1.8246
1983.4,-1.82788
1986.33,-1.83116
1989.26,-1.83443
1992.19,-1.83771
1995.12,-1.84098
1998.05,-1.84425
2000.98,-1.84752
2003.91,-1.85079
2006.84,-1.85405
2009.77,-1.85731
2012.7,-1.86057
2015.63,-1.86383
2018.55,-1.86708
2021.48,-1.87033
2024.41,-1.87358
2027.34,-1.87683
2030.27,-1.88007
2033.2,-1.88331
2036.13,-1.88655
2039.06,-1.88979
2041.99,-1.89302
2044.92,-1.89625
2047.85,-1.89948
2050.78,-1.90271
2053.71,-1.90594
2056.64,-1.90916
2059.57,-1.91238
2062.5,-1.91559
2065.43,-1.91881
2068.36,-1.92202
2071.29,-1.92523
2074.22,-1.92844
2077.15,-1.93165
2080.08,-1.93485
2083.01,-1.93805
2085.94,-1.94125
2088.87,-1.94444
2091.8,-1.94763
2094.73,-1.95083
2097.66,-1.95401
2100.59,-1.9572
2103.52,-1.96038
2106.45,-1.96356
2109.38,-1.96674
2112.3,-1.96991
2115.23,-1.97308
2118.16,-1.97626
2121.09,-1.97942
2124.02,-1.98259
2126.95,-1.98575
2129.88,-1.98891
2132.81,-1.99207
2135.74,-1.99522
2138.67,-1.99837
2141.6,-2.00153
2144.53,-2.00467
2147.46,-2.00781
2150.39,-2.01096
2153.32,-2.0141
2156.25,-2.01723
2159.18,-2.02037
